number,value,datetime_start,datetime_complete,duration,params_colsample_bylevel,params_colsample_bytree,params_gamma,params_learning_rate,params_max_delta_step,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
46,0.8224108470600978,2025-07-16 15:44:03.687677,2025-07-16 15:44:11.573436,0 days 00:00:07.885759,0.6613163577481121,0.6471025560454073,1.0972118140813918,0.035958819310680686,3,7,8,678,1.5015172405196997,1.0986793194975888,0.9272186129214878,COMPLETE
47,0.8165109316104171,2025-07-16 15:44:11.598276,2025-07-16 15:44:16.871288,0 days 00:00:05.273012,0.9693764705290356,0.5789342891068117,5.565738621483543,0.17141700476282556,5,5,2,773,2.4809601115104045,2.130001647005373,0.8718938222278341,COMPLETE
48,0.8222157371487253,2025-07-16 15:44:16.894590,2025-07-16 15:44:24.931811,0 days 00:00:08.037221,0.847122641793588,0.9177735036008716,0.5385174934735404,0.07156611690542632,6,4,1,926,2.0285707320124344,4.626662673318642,0.9702641441992658,COMPLETE
49,0.8233934815979085,2025-07-16 15:44:24.955650,2025-07-16 15:44:36.977775,0 days 00:00:12.022125,0.6106941810957661,0.6222764501665983,0.2932988637584613,0.1096654631138756,4,7,2,1128,1.5025165817287487,3.100817802705597,0.943284809787937,COMPLETE
50,0.8217295757209264,2025-07-16 15:44:37.001697,2025-07-16 15:44:46.403360,0 days 00:00:09.401663,0.6093472096257988,0.6236008494651295,0.3949969968026858,0.23831208180481864,6,7,2,1138,1.0047136537808983,3.8688085366529434,0.9477182373756042,COMPLETE
51,0.8208530491824126,2025-07-16 15:44:46.427500,2025-07-16 15:45:00.049242,0 days 00:00:13.621742,0.5195551104059916,0.6882758462942125,0.3293970435066792,0.12814492694066693,4,8,1,1046,1.5730815062321353,3.12314262380482,0.889302040185485,COMPLETE
52,0.8237647080079652,2025-07-16 15:45:00.072818,2025-07-16 15:45:12.296613,0 days 00:00:12.223795,0.7446104347284651,0.6155552460198613,0.27086409136502076,0.04827457324050518,3,5,2,1284,1.239924909710049,1.0024836379543962,0.9846856701101349,COMPLETE
53,0.8225946964260521,2025-07-16 15:45:12.321431,2025-07-16 15:45:23.265376,0 days 00:00:10.943945,0.6203926420576531,0.6108571583919485,0.4499754440975466,0.04715510359268845,5,5,2,1254,1.3198297405243617,2.631558787639777,0.983137587940272,COMPLETE
54,0.8237759289138097,2025-07-16 15:45:23.290161,2025-07-16 15:45:37.865323,0 days 00:00:14.575162,0.6668726074449928,0.5834767832254307,0.27650671656979076,0.06767857270829086,3,6,3,1252,1.3281031269482706,1.0070312782566495,0.9397034707889744,COMPLETE
55,0.8215910809052035,2025-07-16 15:45:37.890557,2025-07-16 15:45:49.146567,0 days 00:00:11.256010,0.5536408730160158,0.5769163303806988,0.2837983810238121,0.10013940206645261,2,3,3,1264,1.3042137004676349,1.0801049122486577,0.9152128509746134,COMPLETE
56,0.8235469855861555,2025-07-16 15:45:49.170623,2025-07-16 15:46:02.762826,0 days 00:00:13.592203,0.6634184257527675,0.5655483195440943,0.2714207028430633,0.07041909126256528,1,6,3,1168,1.0965879043066298,1.006009024554409,0.9383285766809345,COMPLETE
57,0.8236989918119184,2025-07-16 15:46:02.786894,2025-07-16 15:46:23.127568,0 days 00:00:20.340674,0.6584271098205613,0.5636736670044775,0.19485942024717265,0.03632465039267141,1,6,3,1454,1.1061657087820642,1.0153741857135778,0.9366368652846818,COMPLETE
58,0.8239671344671621,2025-07-16 15:46:23.153844,2025-07-16 15:46:53.382818,0 days 00:00:30.228974,0.6287749183033506,0.521127182405187,0.12155518910614392,0.0152456808636942,1,9,3,1444,1.002421892353909,1.008561850966488,0.9817176036604889,COMPLETE
59,0.8238110735945832,2025-07-16 15:46:53.407522,2025-07-16 15:47:15.384691,0 days 00:00:21.977169,0.685525224290537,0.5086966069952392,0.12658098691423644,0.03716538333742364,1,9,3,1492,1.0134131449673163,1.0074012561609083,0.984634596669753,COMPLETE
60,0.8240356484118374,2025-07-16 15:47:15.408663,2025-07-16 15:47:45.752483,0 days 00:00:30.343820,0.6870376000243484,0.5003170643836883,0.11276257221912388,0.017028605811314764,1,9,6,1493,1.147432044727438,1.2381716810410845,0.9856222617653132,COMPLETE
61,0.8238739491002434,2025-07-16 15:47:45.776364,2025-07-16 15:48:17.598791,0 days 00:00:31.822427,0.6867269541476041,0.5025467747698404,0.12486321250750079,0.015921804323823657,1,9,6,1548,1.0062774617859096,1.2158392419544806,0.9817441844288707,COMPLETE
62,0.8238325983885124,2025-07-16 15:48:17.624708,2025-07-16 15:48:47.072774,0 days 00:00:29.448066,0.6874716404083285,0.503398374166409,0.12141318120543812,0.016294663774389734,0,9,7,1602,1.0100328262850184,1.3173698583644404,0.9833061248209752,COMPLETE
63,0.8236831235206068,2025-07-16 15:48:47.102039,2025-07-16 15:49:16.602704,0 days 00:00:29.500665,0.689307824158168,0.5093057484651595,0.12895501192919237,0.015669823522305677,0,9,7,1589,1.008346021589379,1.2515609668716774,0.9814981141965506,COMPLETE
64,0.8240175544221235,2025-07-16 15:49:16.626732,2025-07-16 15:49:39.759734,0 days 00:00:23.133002,0.6310554914575429,0.502469249493226,0.11862234952095874,0.018252768600306515,0,9,6,1714,1.1896864364351742,1.3816287939703766,0.9994239975333711,COMPLETE
65,0.8236695511397005,2025-07-16 15:49:39.784770,2025-07-16 15:50:02.859375,0 days 00:00:23.074605,0.6318988670075201,0.5294858471082784,0.11489201033978293,0.01862160157842638,0,9,7,1680,1.1421261324288656,1.5663321707100846,0.9991035771574606,COMPLETE
66,0.8240642744229332,2025-07-16 15:50:02.884126,2025-07-16 15:50:38.115375,0 days 00:00:35.231249,0.7192841078945436,0.5078261591504539,0.1286644051229359,0.013392791959355497,1,8,6,1759,1.0636994327612648,1.3582631732745183,0.9626948277500565,COMPLETE
67,0.8238564556657092,2025-07-16 15:50:38.140129,2025-07-16 15:51:15.083344,0 days 00:00:36.943215,0.7271260352914533,0.5001950007837062,0.10499168648416779,0.013340086636064332,1,8,6,1785,1.2001797830138674,1.8344783859701244,0.9564236209648734,COMPLETE
68,0.8239824418753067,2025-07-16 15:51:15.110249,2025-07-16 15:51:53.690135,0 days 00:00:38.579886,0.7234885567847726,0.5393448014318573,0.10207491812733958,0.008467307806974097,1,8,6,1735,1.216104984042696,1.7859322140644758,0.964431844800948,COMPLETE
69,0.8243300742235006,2025-07-16 15:51:53.715127,2025-07-16 15:52:34.295848,0 days 00:00:40.580721,0.7361687322294498,0.5180309501673342,0.10500544259539538,0.007388964985049714,1,8,6,1755,1.1951933914998334,1.23064919032409,0.9614594865758529,COMPLETE
